State,Variable,Spending
Alabama,Instruction_salary,"5,156"
Alaska,Instruction_salary,"8,330"
Arizona,Instruction_salary,"4,538"
Arkansas,Instruction_salary,"5,742"
California,Instruction_salary,"6,668"
Colorado,Instruction_salary,"6,004"
Connecticut,Instruction_salary,"10,615"
Delaware,Instruction_salary,"7,887"
District of Columbia,Instruction_salary,"13,600"
Florida,Instruction_salary,"5,065"
Georgia,Instruction_salary,"5,882"
Hawaii,Instruction_salary,"7,587"
Idaho,Instruction_salary,"4,268"
Illinois,Instruction_salary,"7,251"
Indiana,Instruction_salary,"5,434"
Iowa,Instruction_salary,"7,122"
Kansas,Instruction_salary,"5,883"
Kentucky,Instruction_salary,"5,998"
Louisiana,Instruction_salary,"5,981"
Maine,Instruction_salary,"8,009"
Maryland,Instruction_salary,"9,551"
Massachusetts,Instruction_salary,"9,857"
Michigan,Instruction_salary,"5,763"
Minnesota,Instruction_salary,"7,701"
Mississippi,Instruction_salary,"5,151"
Missouri,Instruction_salary,"6,436"
Montana,Instruction_salary,"6,571"
Nebraska,Instruction_salary,"7,103"
Nevada,Instruction_salary,"5,324"
New Hampshire,Instruction_salary,"8,308"
New Jersey,Instruction_salary,"10,492"
New Mexico,Instruction_salary,"5,754"
New York,Instruction_salary,"12,303"
North Carolina,Instruction_salary,"5,571"
North Dakota,Instruction_salary,"8,037"
Ohio,Instruction_salary,"6,986"
Oklahoma,Instruction_salary,"4,490"
Oregon,Instruction_salary,"5,746"
Pennsylvania,Instruction_salary,"7,890"
Rhode Island,Instruction_salary,"9,096"
South Carolina,Instruction_salary,"5,909"
South Dakota,Instruction_salary,"5,456"
Tennessee,Instruction_salary,"5,313"
Texas,Instruction_salary,"6,273"
Utah,Instruction_salary,"3,992"
Vermont,Instruction_salary,"10,143"
Virginia,Instruction_salary,"7,121"
Washington,Instruction_salary,"6,857"
West Virginia,Instruction_salary,"6,291"
Wisconsin,Instruction_salary,"6,476"
Wyoming,Instruction_salary,"9,622"
Alabama,Instruction_benefits,"2,085"
Alaska,Instruction_benefits,"5,001"
Arizona,Instruction_benefits,"1,447"
Arkansas,Instruction_benefits,"1,640"
California,Instruction_benefits,"2,790"
Colorado,Instruction_benefits,"1,783"
Connecticut,Instruction_benefits,"5,254"
Delaware,Instruction_benefits,"4,094"
District of Columbia,Instruction_benefits,"2,386"
Florida,Instruction_benefits,"1,589"
Georgia,Instruction_benefits,"2,175"
Hawaii,Instruction_benefits,"3,120"
Idaho,Instruction_benefits,"1,545"
Illinois,Instruction_benefits,"4,515"
Indiana,Instruction_benefits,"2,928"
Iowa,Instruction_benefits,"2,352"
Kansas,Instruction_benefits,"1,762"
Kentucky,Instruction_benefits,"2,443"
Louisiana,Instruction_benefits,"3,047"
Maine,Instruction_benefits,"3,220"
Maryland,Instruction_benefits,"3,765"
Massachusetts,Instruction_benefits,"3,770"
Michigan,Instruction_benefits,"3,740"
Minnesota,Instruction_benefits,"2,719"
Mississippi,Instruction_benefits,"1,755"
Missouri,Instruction_benefits,"1,987"
Montana,Instruction_benefits,"2,032"
Nebraska,Instruction_benefits,"2,488"
Nevada,Instruction_benefits,"2,209"
New Hampshire,Instruction_benefits,"3,886"
New Jersey,Instruction_benefits,"4,914"
New Mexico,Instruction_benefits,"2,022"
New York,Instruction_benefits,"6,461"
North Carolina,Instruction_benefits,"1,855"
North Dakota,Instruction_benefits,"2,948"
Ohio,Instruction_benefits,"2,727"
Oklahoma,Instruction_benefits,"1,551"
Oregon,Instruction_benefits,"3,111"
Pennsylvania,Instruction_benefits,"4,638"
Rhode Island,Instruction_benefits,"4,208"
South Carolina,Instruction_benefits,"2,169"
South Dakota,Instruction_benefits,"1,609"
Tennessee,Instruction_benefits,"1,722"
Texas,Instruction_benefits,"1,097"
Utah,Instruction_benefits,"1,963"
Vermont,Instruction_benefits,"4,449"
Virginia,Instruction_benefits,"2,800"
Washington,Instruction_benefits,"2,593"
West Virginia,Instruction_benefits,"3,034"
Wisconsin,Instruction_benefits,"2,819"
Wyoming,Instruction_benefits,"4,315"
Alabama,Pupil_support,567
Alaska,Pupil_support,"1,367"
Arizona,Pupil_support,615
Arkansas,Pupil_support,524
California,Pupil_support,670
Colorado,Pupil_support,502
Connecticut,Pupil_support,"1,260"
Delaware,Pupil_support,597
District of Columbia,Pupil_support,631
Florida,Pupil_support,396
Georgia,Pupil_support,477
Hawaii,Pupil_support,"1,323"
Idaho,Pupil_support,404
Illinois,Pupil_support,980
Indiana,Pupil_support,488
Iowa,Pupil_support,655
Kansas,Pupil_support,519
Kentucky,Pupil_support,475
Louisiana,Pupil_support,680
Maine,Pupil_support,962
Maryland,Pupil_support,671
Massachusetts,Pupil_support,"1,179"
Michigan,Pupil_support,948
Minnesota,Pupil_support,360
Mississippi,Pupil_support,448
Missouri,Pupil_support,466
Montana,Pupil_support,743
Nebraska,Pupil_support,579
Nevada,Pupil_support,489
New Hampshire,Pupil_support,"1,214"
New Jersey,Pupil_support,"2,025"
New Mexico,Pupil_support,992
New York,Pupil_support,672
North Carolina,Pupil_support,443
North Dakota,Pupil_support,537
Ohio,Pupil_support,835
Oklahoma,Pupil_support,559
Oregon,Pupil_support,805
Pennsylvania,Pupil_support,867
Rhode Island,Pupil_support,"1,743"
South Carolina,Pupil_support,832
South Dakota,Pupil_support,512
Tennessee,Pupil_support,416
